row_index,site_id,fips
351,0204260,34023
352,0204269,36027
353,0204284,36045
354,0204289,36011
355,0204407,36059
356,0204492,34019
357,0204538,72041
358,0205831,72095
359,0205848,72141
360,0205957,72125
361,0206222,36047
362,0206263,72013
363,0206276,34023
364,0206317,34003
365,0206319,72023
366,0206345,34037
367,0206452,72105
368,0206456,36063
369,0206479,36081
370,0206578,34013
371,0300031,11001
372,0300034,10003
373,0300058,10003
374,0300061,10005
375,0300069,10003
376,0300086,10003
377,0300089,10005
378,0300091,10003
379,0300092,10003
380,0300093,10003
381,0300095,10001
382,0300101,10001
383,0300106,10003
384,0300111,10001
385,0300123,10003
386,0300124,10001
387,0300125,10003
388,0300137,10003
389,0300191,10001
390,0300192,24015
391,0300243,24003
392,0300258,24025
393,0300265,24015
394,0300289,24510
395,0300292,24001
396,0300305,24037
397,0300313,24003
398,0300316,24015
399,0300338,24005
400,0300344,24510
401,0300348,24005
402,0300415,24033
403,0300420,24033
404,0300421,24025
405,0300423,24025
406,0300429,24037
407,0300430,24017
408,0300435,24003
409,0300444,42027
410,0300445,42091
411,0300446,42085
412,0300449,42029
413,0300517,42065
414,0300530,42085
415,0300563,42017
416,0300574,42045
417,0300579,42091
418,0300585,42017
419,0300596,42029
420,0300602,42011
421,0300614,42011
422,0300623,42095
423,0300624,42025
424,0300629,42091
425,0300643,42075
426,0300671,42079
427,0300694,42115
428,0300699,42081
429,0300701,42035
430,0300773,42029
431,0300811,42085
432,0300847,42091
433,0300862,42091
434,0300868,42029
435,0300881,42079
436,0300894,42091
437,0300911,42133
438,0300932,42001
439,0300939,42045
440,0300951,42101
441,0300963,42017
442,0300982,42017
443,0300995,42001
444,0301012,42091
445,0301029,42011
446,0301042,42003
447,0301087,42025
448,0301099,42069
449,0301103,42029
450,0301109,42077
451,0301139,42003
452,0301146,42091
453,0301156,42091
454,0301183,42091
455,0301185,42049
456,0301193,42091
457,0301208,42079
458,0301211,42095
459,0301218,42019
460,0301220,42069
461,0301226,42091
462,0301227,42003
463,0301228,42077
464,0301229,42049
465,0301231,42049
466,0301249,42077
467,0301252,42029
468,0301295,42043
469,0301322,42133
470,0301328,42071
471,0301343,42045
472,0301361,42071
473,0301376,42029
474,0301408,42101
475,0301426,42133
476,0301428,42093
477,0301432,42029
478,0301434,42011
479,0301436,42091
480,0301441,42133
481,0301442,42039
482,0301444,42083
483,0301447,42029
484,0301452,42091
485,0301453,42077
486,0301486,42091
487,0301506,42069
488,0301509,42015
489,0301517,42017
490,0301541,42085
491,0301543,42069
492,0301544,42003
493,0301546,42019
494,0301566,42077
495,0301568,42077
496,0301569,42087
497,0301570,42071
498,0301588,42107
499,0301590,42133
500,0301594,42001
501,0301595,42001
502,0301625,42011
503,0301733,42091
504,0301744,42077
505,0301755,42011
506,0301831,42089
507,0301833,42089
508,0301842,42091
509,0301849,42017
510,0301982,42013
511,0302401,42017
512,0302402,42011
513,0302420,42029
514,0302458,42055
515,0302460,42041
516,0302464,42089
517,0302466,42017
518,0302467,42055
519,0302514,51800
520,0302523,51003
521,0302526,51173
522,0302542,51177
523,0302565,51193
524,0302581,51041
525,0302592,51047
526,0302606,51187
527,0302607,51087
528,0302612,51005
529,0302624,51029
530,0302639,51800
531,0302659,51085
532,0302667,51740
533,0302680,51161
534,0302708,51143
535,0302737,51125
536,0302756,51199
537,0302762,51107
538,0302772,51069
539,0302775,51800
540,0302836,51740
541,0302840,51153
542,0302841,51740
543,0302848,51199
544,0302849,51041
545,0302852,51550
546,0302853,51810
547,0302858,51710
548,0302859,51700
549,0302862,51099
550,0302869,51199
551,0302883,54049
552,0302884,54061
553,0302940,54079
554,0302947,54049
555,0303045,54037
556,0303171,54057
